file 1, errore: 9.590281820626815
file 2, errore: 1.2168131360908623
file 3, errore: 73.6920172674605
file 4, errore: 0.005046389808976822
file 5, errore: 0.15494377847872245
file 6, errore: 0.16570337172240499
file 7, errore: 0.0016489826384157955
file 8, errore: 0.0005849946851201831
file 9, errore: 0.09582530699287263
file 10, errore: 5.243155516236693
file 11, errore: 0.023395214127207048
file 12, errore: 0.9820355946694465
file 13, errore: 1.6506481685414527
file 14, errore: 0.0038066890622675217
file 15, errore: 0.4021508252593616
file 16, errore: 0.3139275667097728
file 17, errore: 0.0026681581357317343
file 18, errore: 0.0020815277946095753
file 19, errore: 0.0008643223948927142
file 20, errore: 0.31933228260005897
file 21, errore: 0.001865373867794043
file 22, errore: 329.09466549448223
file 23, errore: 0.006451553322281843
