file 1, errore: 6.200669870263235
file 2, errore: 1.0335766495013983
file 3, errore: 89.41603676285114
file 4, errore: 0.005915777772562154
file 5, errore: 0.13254809006260274
file 6, errore: 0.14350150073467127
file 7, errore: 0.0017268776371489457
file 8, errore: 0.0005907158831061819
file 9, errore: 0.10367011281437012
file 10, errore: 7.117044103988474
file 11, errore: 0.021706678394387006
file 12, errore: 0.9613912587601156
file 13, errore: 1.649091253563861
file 14, errore: 0.004164337968244907
file 15, errore: 0.4177168225050864
file 16, errore: 0.37409569124168807
file 17, errore: 0.0028606716698854886
file 18, errore: 0.0016943874932653425
file 19, errore: 0.0010014968062704837
file 20, errore: 0.4942867478201529
file 21, errore: 0.002221259577369762
file 22, errore: 325.3746499032752
file 23, errore: 0.0049938091856812075
